clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp
3105,30.54443333333333,61.227466666666665,1868.3364666666666,3,-0.2124397707985448,0.9899703909104107,57067.27865033555,0.9879969292912048
3045,30.057266666666667,61.61236666666667,1851.2281333333333,3,-1.8039956710550809,1.896603976518052,55642.857664435556,0.9633361500606031
2985,28.8299,63.72553333333334,1837.1602666666668,3,-5.813758230298749,2.6421120367917994,52965.146771973334,0.9169773573890215
2925,28.986499999999996,63.659333333333336,1845.2603666666666,3,-5.3021516877462265,2.212857908777366,53487.63961838333,0.9260231948643408
2865,29.794,62.473033333333326,1860.1843666666666,3,-2.664078360088684,1.4219801904173934,55422.33302046666,0.9595182411603157
2805,29.851633333333336,62.56803333333334,1866.9982666666667,3,-2.475792342193117,1.0608865368973541,55732.94769050223,0.9648958646854938
2745,29.622966666666667,62.937466666666666,1863.9717,3,-3.2228380812119317,1.2212754500438128,55216.37153671,0.9559524619902475
2685,29.779966666666667,62.7141,1867.5994333333335,3,-2.7099247531101045,1.029028501405027,55617.04887135223,0.96288932643561
2625,29.299266666666664,62.85863333333333,1841.3921,3,-4.280354286986244,2.417851604525234,53951.43817579333,0.9340528672329579
2565,29.885333333333335,61.9991,1852.0646,3,-2.3656956596642575,1.8522765275219677,55349.56792586667,0.9582584703823034
2505,29.6973,62.35166666666667,1851.5364,3,-2.979993766632938,1.8802677906443077,54985.631931719996,0.9519577030567996
2445,28.806933333333333,63.5523,1830.7670666666666,3,-5.888789500587954,2.9809112480635114,52738.78483832889,0.9130583883994634
2385,28.860833333333332,63.335633333333334,1827.9292333333333,3,-5.7127001478192385,3.131298486856904,52755.560948361104,0.9133488305861119
2325,28.731966666666665,63.4515,1823.0938666666668,3,-6.133702892286685,3.3875423729978094,52381.072207271114,0.906865365192255
2265,29.3721,62.21853333333333,1827.2236666666668,3,-4.042410418217123,3.168689062807317,53669.3962597,0.9291699193577139
2205,29.765599999999996,61.4751,1829.7156000000002,3,-2.7568601340892895,3.036632338807599,54462.58266336,0.9429022323347057
2145,29.095100000000002,62.75606666666667,1825.8889666666666,3,-4.947359411110163,3.2394197309053574,53124.42207406334,0.919734865949068
2085,29.885199999999998,61.0934,1825.6857666666667,3,-2.36613125484737,3.2501880471992983,54560.984273986665,0.9446058441317943
2025,28.819,62.86433333333334,1811.5921666666666,3,-5.849368136517286,3.997059811570647,52208.27465116666,0.9038737479492762
1965,29.045933333333334,62.63356666666667,1819.2537666666667,3,-5.10798513487879,3.5910434133539004,52841.92362301556,0.9148440141550848
1905,29.30656666666667,62.04983333333333,1817.5810333333332,3,-4.256505450711423,3.6796877126095584,53267.05972545222,0.922204329447354
1845,32.38876666666667,54.6807,1753.9201333333333,3,5.8129305994508496,7.053313237987602,56807.309950502226,0.9834961315797714
1785,30.801933333333334,57.22076666666666,1762.5209666666667,3,0.6288034265659492,6.597523406664818,54289.05331386889,0.9398979456665152
1725,32.14443333333333,52.7457,1695.4993666666667,3,5.0147024264176165,10.149244800985002,54500.866358525556,0.9435650320013457
1665,32.876,49.992466666666665,1643.5771333333334,3,7.404704297298914,12.900795151482203,54034.241835466666,0.9354864341284919
1605,34.11626666666667,46.43716666666666,1584.2748,3,11.456610690507652,16.04344417855865,54049.54155008,0.9357513157106262
1545,34.9767,43.9272,1536.4370333333334,3,14.26761530585643,18.578543599140918,53739.49718379,0.9303835657655926
1485,36.40273333333334,39.8232,1449.4023666666665,3,18.92641468792111,23.190831095224652,52762.20784646889,0.9134639073003888
1425,38.00373333333334,35.798966666666665,1360.4723333333334,3,24.15682384901052,27.90356105075549,51703.02776337778,0.8951264870762291
1365,40.0783,35.11676666666667,1405.9678999999999,3,30.934358201680112,25.492583433439286,56348.80328656999,0.9755580769407856
