clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp
3105,12.4859,33.23746666666667,413.1137333333333,3,6.668044950270735,-14.043690099606799,5158.096763026667,1.2164817461839603
3045,11.1745,34.684,387.5991666666667,3,-4.535350411520167,-7.000168911190507,4331.226887916667,1.0214733631014954
2985,11.223066666666668,34.8321,390.922,3,-4.120441483602688,-7.917466363060854,4387.343667466667,1.0347079031098432
2925,11.7682,34.384800000000006,404.5280666666667,3,0.5366762975657302,-11.6735410834234,4760.567194146667,1.1227286650907045
2865,12.081233333333335,33.896966666666664,409.4844666666667,3,3.2109451665245814,-13.041799023068323,4947.077388175557,1.1667150920495195
2805,11.527233333333333,34.7738,400.73803333333336,3,-1.5219212589994258,-10.62726895045345,4619.400815774445,1.08943609026046
2745,11.846333333333334,34.4065,407.3290666666667,3,1.2041756297816342,-12.446781840615184,4825.355900088889,1.138008385840136
2685,11.556433333333333,34.69766666666666,400.9958,3,-1.272463317437511,-10.69842771250704,4634.0812296466665,1.092898308268853
2625,11.145466666666666,35.7534,398.48679999999996,3,-4.7833845063836815,-10.005796131002477,4441.321346506666,1.0474379592274807
2565,11.3546,35.1456,398.9727666666667,3,-2.9967416692153526,-10.139951515973333,4530.176176393334,1.0683934169444056
2505,11.925466666666667,34.15763333333334,407.3304333333333,3,1.8802180421880088,-12.44715912100367,4857.605505035555,1.1456141089472462
2445,11.201833333333333,33.9548,380.35740000000004,3,-4.30183955298048,-5.001015344343074,4260.7002019,1.00484040135229
2385,13.173566666666666,30.83213333333333,406.0772,3,12.542836427921733,-12.101193004757803,5349.485066013333,1.2616186227709343
2325,13.384233333333333,29.2486,391.1331333333333,3,14.342578654715465,-7.975751582102286,5235.01712093111,1.2346225868078546
2265,11.940199999999999,28.7949,343.6720666666667,3,2.0060860903276856,5.126294518027619,4103.513210413334,0.9677695369102469
2205,11.679566666666666,28.317866666666664,330.4748,3,-0.22052537665017136,8.76951639242799,3859.8024582533335,0.9102929723997664
2145,11.3924,27.47883333333333,313.0904,3,-2.6738132380153323,13.568633357556582,3566.85107296,0.8412035331936019
2085,11.612633333333333,26.4635,307.24876666666665,3,-0.7923422107327327,15.181267767375761,3567.9672694188885,0.8414667761453677
2025,11.405833333333334,25.790766666666666,293.9876,3,-2.559051194123263,18.842129800428253,3353.1735676666667,0.7908099875310459
1965,11.337333333333333,25.4924,289.0545666666667,3,-3.144252187170915,20.20393716562605,3277.1079738222224,0.7728707338342786
1905,11.744266666666666,24.0852,282.8986,3,0.33221191167365216,21.90334606479808,3322.4365980266666,0.7835610032219321
1845,11.286133333333334,24.272433333333336,273.9585,3,-3.5816578929233067,24.371339529050275,3091.9321588000003,0.7291990058387977
1785,11.478233333333334,23.756933333333336,272.6966,3,-1.9405321883327664,24.71969815507682,3130.075204006667,0.7381946335614837
1725,11.699866666666667,22.479633333333336,262.66496666666666,3,-0.04710084878348786,27.489019024243966,3073.1450880044445,0.7247682768825521
1665,11.600966666666666,22.25363333333333,258.17766666666665,3,-0.8920114796216239,28.727777771029682,2995.1105050777774,0.7063646582490646
1605,11.3501,21.990499999999997,249.6368666666667,3,-3.035185530072504,31.085540948117764,2833.4034003533334,0.6682277736261176
1545,11.513466666666666,21.3348,245.61316666666667,3,-1.6395309962883187,32.19631882555891,2827.859007311111,0.6669201880496161
1485,11.3563,20.935466666666667,237.80516666666668,3,-2.982218432891548,34.351786098730486,2700.5868142166664,0.6369044076544177
1425,11.487533333333333,20.415000000000003,234.51056666666668,3,-1.861081542561338,35.261289489892256,2693.9479516022225,0.6353387031791191
1365,10.9522,20.12483333333333,220.41893333333334,3,-6.434477137863103,39.15140917169728,2414.072241653333,0.5693330216274369
1305,10.962566666666666,19.553933333333333,214.00466666666668,3,-6.345913873221831,40.92212406429403,2346.040425311111,0.5532884481069722
1245,10.936266666666667,19.358633333333334,211.63966666666667,3,-6.570596882231361,41.575003175596635,2314.547831911111,0.5458612580461534
1185,10.977133333333333,18.985233333333333,208.26716666666667,3,-6.2214696717805555,42.506011548902364,2286.1764574555555,0.5391701739651557
1125,12.710233333333335,17.996100000000002,228.78446666666665,3,8.584542606334299,36.84202990394295,2907.9039543755557,0.6857979294824894
1065,12.184,18.314533333333333,222.86546666666666,3,4.088889040765875,38.47602206453497,2715.3928458666664,0.6403962512671146
1005,12.488333333333335,18.280466666666666,227.9426,3,6.688833112067583,37.07443462325315,2846.623169666667,0.6713455142962241
945,14.0698,18.043999999999997,253.9481,2,20.199429663966484,29.89538695772248,3572.9989773800003,0.8426534504494825
885,14.182699999999999,18.330033333333333,259.81829999999997,3,21.163943417471277,28.274866467587778,3684.925003409999,0.8690500020931765
825,14.445133333333333,18.692333333333334,269.75786666666664,3,23.40593242879201,25.53096141385992,3896.688351715555,0.9189921143798306
765,14.752,18.537266666666667,273.45716666666664,3,26.02751896990958,24.509737017901468,4034.0401226666663,0.9513850550019883
705,15.048933333333332,18.282366666666665,275.1287,3,28.564244247801707,24.0482954968954,4140.393464386666,0.9764673488774
645,15.251900000000001,18.3481,279.7753333333333,3,30.298204757128786,22.765551377988103,4267.105406466667,1.006351000085485
585,15.903833333333333,18.137733333333333,288.3309,3,35.86772350264009,20.403711732312168,4585.56657845,1.0814566486190644
525,16.320866666666664,18.069066666666668,294.9122,3,39.43047271140847,18.586885814673327,4813.222694573332,1.135146899576797
465,16.576766666666668,18.21813333333333,301.8686,3,41.61664693215143,16.666510233334854,5004.005346193334,1.1801409397909872
405,16.979133333333333,18.308,310.8359666666667,3,45.05409763145949,14.190989565234224,5277.725322828889,1.244694857726344
345,18.221666666666668,18.166700000000002,330.94436666666667,3,55.66915953746625,8.639888372119053,6030.357934611111,1.4221951792361323
285,19.554933333333334,14.9345,292.0396,3,67.0593635860889,19.379892383437756,5710.814908693334,1.3468343870664887
225,23.759433333333334,14.442400000000001,342.9863,3,102.97874424694741,5.315606455403632,8149.160129096667,1.9218919301465942
