category,workload,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp
compute,01_sgemm_nn,3105,1851.5427666666667,2505.0,77.24033333333334,96.31026666666666,26.844133333333332,992.3050666666667,16.1587,38.775,68.24916666666667,2646.3639666666663,3,0.31234154401238445,-0.4224588213233904,102612.76280749998,1.0073611987974112
compute,01_sgemm_nn,3045,1854.1733000000002,2505.0,77.36053333333332,96.34353333333333,26.81573333333333,986.5448333333334,16.064899999999998,38.7806,67.73926666666667,2626.984366666667,3,0.32682894859386025,0.3129453435938845,101876.02992995335,1.0001286080902385
compute,01_sgemm_nn,2985,1854.9475333333332,2505.0,77.29313333333333,96.14980000000001,26.809733333333337,990.5305,16.1298,38.79666666666667,67.99223333333333,2637.8737,3,0.3683940022145116,-0.10027583158547237,102340.70664766667,1.004690392439492
compute,01_sgemm_nn,2925,1847.4383666666665,2505.0,77.27106666666667,96.5333,26.8356,994.0691333333333,16.187433333333335,38.779266666666665,68.20343333333334,2644.8798,3,0.32337956655066336,-0.36613865227461684,102566.49906548,1.0069070223641197
compute,01_sgemm_nn,2865,1841.8623333333333,2505.0,76.52153333333332,97.12833333333333,27.1772,998.7044999999999,16.2629,38.79933333333333,68.66963333333334,2664.3349,3,0.37529276630090536,-1.1044078409514713,103374.41789673331,1.0148384536998993
compute,01_sgemm_nn,2805,1849.2362666666668,2505.0,75.56423333333333,97.21036666666667,27.19333333333333,997.7451333333333,16.247266666666665,38.704366666666665,68.58363333333334,2654.4884666666667,3,0.129610530273494,-0.7307619409889554,102740.29492630444,1.008613196156892
compute,01_sgemm_nn,2745,1849.9898666666668,2505.0,75.44136666666667,97.38850000000001,27.294,999.6022333333334,16.277533333333334,38.705666666666666,68.62886666666667,2656.3231333333333,3,0.1329736777656354,-0.8003826508024448,102814.75775775555,1.0093442062681506
compute,01_sgemm_nn,2685,1853.2013333333334,2505.0,75.4754,97.3898,27.2985,998.4298666666667,16.258433333333333,38.6766,68.6153,2653.8055666666664,3,0.057777149223725566,-0.7048477062151504,102640.17637973999,1.0076303209634991
compute,01_sgemm_nn,2625,1854.2680333333335,2505.0,75.45266666666667,97.43516666666666,27.320166666666665,997.7962333333334,16.248099999999997,38.60216666666667,68.60603333333333,2648.3403,3,-0.13478460333830045,-0.4974554035334533,102231.67365065,1.0036200030690272
compute,01_sgemm_nn,2565,1854.5370666666668,2505.0,75.43696666666666,97.47590000000001,27.302633333333333,999.2247333333333,16.2714,38.56666666666667,68.63803333333334,2647.136,3,-0.22662440023868413,-0.4517554285179859,102091.21173333334,1.0022410724024888
compute,01_sgemm_nn,2505,1856.0171333333335,2505.0,75.4522,97.43043333333333,27.2974,998.1889,16.2545,38.57553333333333,68.60716666666667,2646.5551666666665,3,-0.2036860096513715,-0.4297143516920343,102092.27705025555,1.0022515307402482
compute,01_sgemm_nn,2445,1853.6356000000003,2445.0,75.48453333333333,97.6157,27.2863,998.9740666666667,16.267266666666668,38.577866666666665,68.57643333333333,2645.5291333333334,3,-0.19764959107575475,-0.39077912151819216,102058.87016851555,1.0019235715710675
compute,01_sgemm_nn,2385,1852.6311666666668,2385.0,75.42106666666666,97.4316,27.2868,998.0272,16.25186666666667,38.55993333333333,68.57976666666666,2644.4321999999997,3,-0.2440437795568906,-0.34915342532373383,101969.12933652,1.0010425755855124
compute,01_sgemm_nn,2325,1852.2821333333334,2325.0,75.46463333333334,97.66326666666667,27.201933333333333,997.9194333333334,16.2501,38.5549,68.51516666666667,2641.5916666666667,3,-0.25706519676998996,-0.24136275658341866,101846.30254916668,0.9998367710016831
compute,01_sgemm_nn,2265,1850.3730333333333,2265.0,75.43599999999999,97.38736666666667,27.302166666666665,997.4807333333333,16.242933333333333,38.55693333333333,68.48363333333333,2640.5214,3,-0.2518048891541058,-0.20074898931068397,101810.40758504,0.9994843860438657
compute,01_sgemm_nn,2205,1849.9079333333332,2205.0,75.55863333333333,97.43119999999999,27.18296666666667,999.1544333333333,16.270233333333334,38.56876666666667,68.5433,2643.6325,3,-0.22119162352063348,-0.3188069418728734,101961.64504491667,1.0009691014410163
compute,01_sgemm_nn,2145,1849.2612,2145.0,75.4572,97.38766666666668,27.3105,997.2307333333333,16.2389,38.546533333333336,68.47436666666667,2639.4504666666667,3,-0.27871006909111484,-0.16010992381489952,101741.6653950489,0.998809536122445
compute,01_sgemm_nn,2085,1847.5293000000001,2130.0,75.4629,97.43520000000001,27.302966666666666,997.8074333333334,16.248266666666666,38.57826666666667,68.51203333333333,2643.0731666666666,3,-0.19661477646277792,-0.29758173274005983,101965.18144317779,1.0010038186661865
compute,01_sgemm_nn,2025,1846.0719,2130.0,75.41493333333334,97.38583333333334,27.255433333333333,998.1543333333333,16.253933333333332,38.55073333333333,68.5006,2640.7464666666665,3,-0.26784451565501355,-0.20928966940989557,101802.71283740888,0.9994088458285353
compute,01_sgemm_nn,1965,1845.0004333333334,2130.0,75.4136,97.52233333333334,27.382066666666663,998.7100999999999,16.263,38.545566666666666,68.5488,2642.2524,3,-0.2812108710724459,-0.26643582544103595,101847.11603435999,0.9998447570786302
compute,01_sgemm_nn,1905,1844.3509000000001,2130.0,75.41056666666667,97.61706666666667,27.340833333333336,998.3818,16.257666666666665,38.53716666666667,68.45176666666667,2637.9352333333336,3,-0.3029419779446374,-0.10261085757232724,101658.5497428389,0.9979935802826617
compute,01_sgemm_nn,1845,1845.9338,2130.0,74.8157,97.55706666666667,27.31833333333333,998.6111666666666,16.261366666666664,38.42936666666667,67.62346666666667,2598.7267666666667,3,-0.5818245161379298,1.3852459447707521,99867.42378271444,0.980409892396068
compute,01_sgemm_nn,1785,1786.0948,2130.0,74.43213333333334,97.39516666666667,26.31856666666667,998.9191666666667,16.2664,39.7168,66.61476666666667,2645.7261999999996,3,2.7488125502316274,-0.39825727624960283,105079.77834015999,1.03158017172473
compute,01_sgemm_nn,1725,1726.2432000000001,2130.0,71.70543333333333,97.58806666666668,25.3729,1000.2814666666667,16.288533333333334,41.094766666666665,61.824333333333335,2540.6575666666668,3,6.313662657334929,3.588817305036973,104407.72988206778,1.0249825953426988
compute,01_sgemm_nn,1665,1666.5748666666666,2130.0,69.47136666666667,97.62849999999999,24.407133333333334,1000.1409666666667,16.2863,42.5711,57.622233333333334,2453.0394333333334,3,10.132990924675855,6.9136919245137545,104428.58702037667,1.0251873522489108
compute,01_sgemm_nn,1605,1606.7135666666666,2130.0,67.06656666666667,97.46990000000001,23.507900000000003,999.7089666666667,16.279233333333334,44.1594,53.847766666666665,2377.8853999999997,3,14.241981049095065,9.765587171250878,105005.99253275998,1.0308558080358177
compute,01_sgemm_nn,1545,1546.8431666666665,2130.0,65.19136666666667,97.78269999999999,23.0414,1002.2071,16.319933333333335,45.87026666666667,50.645266666666664,2323.111066666667,3,18.66805561783609,11.844127123773173,106561.72412428446,1.0461286025514973
compute,01_sgemm_nn,1485,1486.4664666666667,2130.0,63.5563,98.13960000000002,22.6224,1002.4097333333334,16.32323333333333,47.72593333333333,47.29056666666667,2256.9850666666666,3,23.46873307646935,14.353432569154979,107716.7188260622,1.0574673173034836
compute,01_sgemm_nn,1425,1426.7927666666667,2130.0,61.758433333333336,97.8763,23.274933333333333,1002.3259666666667,16.32186666666667,49.74516666666667,42.6537,2121.8141333333333,3,28.692563477253064,19.4828091996887,105549.99769835555,1.0361963688079159
compute,01_sgemm_nn,1365,1366.8669,2130.0,59.24303333333334,98.18683333333333,23.520933333333332,1003.3043333333334,16.337799999999998,51.918299999999995,38.3827,1992.7657666666667,3,34.31453880037392,24.379850744531772,103461.01090352998,1.0156885471263652
compute,01_sgemm_nn,1305,1307.2,2130.0,57.88296666666667,97.83296666666666,22.4686,1003.9221000000001,16.347866666666665,54.303066666666666,36.238933333333335,1967.8862333333334,3,40.484017288302795,25.32396271972899,106862.25732111555,1.0490789712303539
compute,01_sgemm_nn,1245,1247.2538,2130.0,56.3007,98.13706666666667,21.5462,1003.6741333333333,16.343799999999998,56.91696666666667,33.832233333333335,1925.6278666666667,3,47.24627208035681,26.927555097758916,109600.89709947111,1.0759645103652273
compute,01_sgemm_nn,1185,1187.2922333333333,2130.0,55.41626666666667,97.99856666666666,19.8663,1004.2289666666666,16.352866666666667,59.79673333333333,32.628233333333334,1951.0606333333333,3,54.696333651826265,25.962449392169717,116667.05240859777,1.1453337631592886
compute,01_sgemm_nn,1065,1067.3250333333333,2130.0,53.146166666666666,98.44413333333334,18.56866666666667,1005.5147666666667,16.373766666666665,66.527,28.35813333333333,1886.5807333333332,3,72.10777939132204,28.409289730125654,125508.55644646667,1.232131816959559
compute,01_sgemm_nn,1005,1007.0328333333333,2130.0,52.87633333333334,98.6786,17.453933333333335,1007.54,16.406766666666666,70.49640000000001,27.2483,1920.9077333333335,3,82.37676220305134,27.106671576545793,135417.07993216004,1.3294049224073234
compute,01_sgemm_nn,945,946.7253000000001,2130.0,51.9544,98.81083333333333,16.205133333333333,1007.4786666666665,16.405766666666665,74.9709,26.089033333333333,1955.9169000000002,3,93.95245716729849,25.778167016237507,146636.85031821002,1.4395506882661577
compute,01_sgemm_nn,885,886.9830999999999,2130.0,50.96563333333334,98.8166,14.979033333333334,1008.1702333333333,16.417033333333332,80.04983333333332,24.9937,2000.7422333333334,3,107.09184324628241,24.07716509529284,160159.08232129444,1.5722999824898996
compute,01_sgemm_nn,825,827.2135666666667,2130.0,50.91563333333334,98.53833333333334,13.797466666666667,1007.8872666666666,16.412433333333336,85.86880000000001,23.883966666666666,2050.885366666667,3,122.14572259379737,22.17436683860351,176107.0653732267,1.7288631514958224
compute,01_sgemm_nn,765,767.151,2130.0,50.951699999999995,98.8771,11.865233333333334,1009.5472666666666,16.439466666666664,92.59893333333332,25.653499999999998,2375.4853666666663,3,139.55682339508874,9.856662039115726,219967.41110227548,2.159445169213935
compute,01_sgemm_nn,705,706.8803666666666,2130.0,50.2963,98.83116666666666,9.348799999999999,1009.7838,16.443299999999997,96.7812,24.231333333333335,2345.1345333333334,3,150.37650005001603,11.008395265913173,226964.93429744,2.22814065271551
compute,01_sgemm_nn,645,646.7289000000001,2130.0,48.98073333333334,98.99903333333333,10.890233333333335,1010.4178666666667,16.453633333333332,109.82083333333333,20.560100000000002,2257.925566666667,3,184.11050785251823,14.317743100997493,247967.26733597222,2.4343229521525536
compute,01_sgemm_nn,585,586.6325,2130.0,47.9861,99.18483333333334,10.000833333333333,1010.8885666666666,16.461266666666667,121.0836,19.364433333333334,2344.7140333333336,3,213.2476966751407,11.024352120097337,283906.41612652,2.787141675855787
compute,01_sgemm_nn,525,526.5234999999999,2130.0,47.02146666666667,99.32189999999999,9.1974,1011.7125666666667,16.474733333333333,134.9407,18.219566666666665,2458.5572333333334,3,249.096520608333,6.704306121856285,331759.43405606336,3.256920212060013
compute,02_sgemm_nt,3105,1853.2841,2505.0,74.08923333333333,97.44656666666667,35.20936666666666,997.5268333333333,16.243733333333335,38.0768,68.49706666666667,2608.1487666666667,3,1.2890972063353656,-1.2965634835403028,99309.95895861334,1.0260237465352033
compute,02_sgemm_nt,3045,1849.9926333333333,2505.0,74.47446666666667,97.39949999999999,35.19733333333333,998.6436,16.2619,38.1565,68.61516666666667,2618.1126333333336,3,1.5011092726682662,-1.68354503353505,99898.01469378335,1.0320992615681126
compute,02_sgemm_nt,2985,1848.1470333333334,2505.0,74.64236666666666,97.40116666666667,35.27036666666667,998.8463333333333,16.2652,38.16636666666667,68.6092,2618.5632333333338,3,1.527355852189194,-1.7010456577666977,99941.04450325224,1.0325438253035821
compute,02_sgemm_nt,2925,1848.7669999999998,2505.0,74.6869,97.35539999999999,35.275299999999994,998.4084333333334,16.258066666666668,38.15396666666667,68.60743333333333,2617.6453333333334,3,1.4943702860345187,-1.665395806496739,99873.55279315557,1.0318465327260842
compute,02_sgemm_nt,2865,1846.5539333333334,2505.0,74.74396666666667,97.49406666666665,35.294266666666665,999.4654333333333,16.2753,38.18266666666667,68.66703333333334,2621.889,3,1.5707159109247915,-1.8302134178987073,100110.71372400002,1.0342967678218233
compute,02_sgemm_nt,2805,1850.3083666666669,2505.0,74.78373333333333,97.53876666666667,35.27713333333333,999.0952333333333,16.269266666666667,38.028333333333336,68.57846666666666,2607.9285333333332,3,1.1601697515264853,-1.2880099531142886,99175.17557511112,1.0246312280651346
compute,02_sgemm_nt,2745,1846.8322333333333,2505.0,74.84836666666666,97.44916666666666,35.2868,998.8725666666666,16.26563333333333,38.12873333333334,68.59936666666665,2615.6051,3,1.4272464323272782,-1.5861562216952452,99729.70936320668,1.0303604101210782
compute,02_sgemm_nt,2685,1845.5856333333334,2505.0,74.8842,97.40256666666666,35.20706666666667,999.8444333333333,16.281466666666667,38.19436666666667,68.64593333333333,2621.886533333334,3,1.6018393886675142,-1.830117616286575,100141.2956125289,1.034612725497907
compute,02_sgemm_nt,2625,1846.0476666666666,2505.0,74.94876666666666,97.40613333333333,35.170300000000005,998.3353666666667,16.256866666666667,38.200266666666664,68.61536666666666,2621.1247666666663,3,1.617534133854015,-1.800531748142875,100127.66505327109,1.0344719009761398
compute,02_sgemm_nt,2565,1850.5443666666667,2505.0,74.8587,97.25186666666667,35.280833333333334,999.0982666666665,16.269333333333332,37.9872,68.6583,2608.1306666666665,3,1.050749889604763,-1.2958605068456697,99075.5812608,1.0236022664929554
compute,02_sgemm_nt,2505,1851.4532,2505.0,74.91616666666667,97.54020000000001,35.2217,998.6387,16.261799999999997,38.06046666666666,68.593,2610.6794666666665,3,1.2456484767229936,-1.3948520537645281,99363.67881841776,1.0265787548384777
compute,02_sgemm_nt,2445,1846.7143333333333,2445.0,74.8494,97.40366666666667,35.13843333333333,999.3274333333334,16.273033333333334,38.1921,68.593,2619.7088666666664,3,1.5958097690478512,-1.7455403281482207,100052.18300662,1.0336920560027532
compute,02_sgemm_nt,2385,1845.4046,2385.0,74.77156666666667,97.35776666666668,35.1731,998.7107666666667,16.262966666666667,38.181333333333335,68.61500000000001,2619.8088666666667,3,1.567169075854391,-1.7494241772897379,100027.79560782223,1.0334400968785615
compute,02_sgemm_nt,2325,1846.7771,2325.0,74.7167,97.54289999999999,35.20916666666667,997.9953666666667,16.251366666666666,38.06633333333333,68.5091,2607.898333333333,3,1.2612545510327422,-1.28683703067356,99273.1272561111,1.0256432187232005
compute,02_sgemm_nt,2265,1847.5631333333333,2265.0,74.7093,97.1139,35.12873333333334,997.9448666666667,16.250533333333333,37.96673333333333,68.48886666666667,2600.275,3,0.9963059712741806,-0.9907582644522961,98723.94751833333,1.019969352194761
compute,02_sgemm_nt,2205,1846.280633333333,2205.0,74.7879,97.53923333333334,35.259966666666664,998.6232333333334,16.261566666666667,37.98643333333333,68.52346666666666,2602.9810666666667,3,1.0487104594392838,-1.0958578114543815,98877.96675686222,1.0215606064638296
compute,02_sgemm_nt,2145,1839.9642999999999,2145.0,75.04786666666666,97.35520000000001,35.23166666666666,998.3963666666667,16.2579,38.18183333333334,68.52266666666667,2616.3181333333337,3,1.5684991390058078,-1.6138493606906001,99895.82291391114,1.032076617130237
