clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,avg_clock_mhz,slowdown_pct,energy_saving_pct,edp,norm_edp
3105,74.45366666666666,65.55816666666666,4894.469733333333,3,2124.6643,-6.278624312649361,7.756600003156155,364411.21803568886,0.864517834578276
3045,96.06386666666667,67.98466666666667,6530.942466666666,3,2080.8421,20.92403424742315,-23.085108526929975,627387.5863255378,1.4883947878858275
2985,89.48003333333334,67.83866666666667,6070.225933333334,3,2084.896166666667,12.636384425436752,-14.402235450813738,543164.0188555312,1.2885854171367184
2925,88.1767,67.78073333333333,5976.782433333334,3,2085.264333333333,10.99576417867234,-12.64115680139386,527012.9515893033,1.2502691277140368
2865,66.91253333333333,66.04116666666665,4418.226366666667,3,2099.356333333333,-15.771311803864075,16.73209883362058,295634.7190337955,0.7013546084089635
2805,74.41576666666667,66.54476666666666,4967.2246000000005,3,2093.3963,-6.326332374556543,6.3854287357265616,369639.8268145267,0.8769220233507939
2745,71.0462,66.72783333333334,4760.908866666667,3,2089.2960666666663,-10.567902167003396,10.273748768823964,338244.4835229733,0.8024406878294567
2685,80.09553333333334,67.2128,5383.478866666667,3,2089.6098666666667,0.8232892547765713,-1.4594882649914043,431192.6110143956,1.0229479332982838
2625,64.98989999999999,65.64663333333333,4285.395433333333,3,2107.1108666666664,-18.19149940522272,19.23549094410283,278507.42067279,0.6607223387136258
2565,59.40563333333333,65.25656666666667,3876.6371999999997,3,2109.7961666666665,-25.220906788853025,26.939134295410483,230294.08806955995,0.546342528661059
2505,73.35366666666665,66.46916666666667,4880.460566666668,3,2107.473966666667,-7.663291017079676,8.020623122076454,357999.6775870778,0.8493072955207177
2445,90.69523333333332,67.3899,6112.926066666667,3,2103.1034,14.166063497458282,-15.2069815609307,554413.2559657488,1.3152727572235716
2385,78.71346666666666,66.84646666666667,5261.721933333333,3,2112.9271000000003,-0.9164395603473485,0.8351982109236822,414168.3740087022,0.9825601631554117
2325,84.1699,67.4504,5677.3259,3,2093.4604,5.952052768389304,-6.99746294058361,477859.95327040995,1.1336600839564495
2265,86.03143333333333,67.42376666666667,5801.794233333333,3,2095.8213666666666,8.295328428256422,-9.343249692601763,499136.6737987344,1.1841363136873155
