clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,avg_clock_mhz,slowdown_pct,energy_saving_pct,edp,norm_edp
3105,255.69539999999998,63.471466666666664,16229.311300000001,3,2194.0677333333333,-0.5883549040137659,-1.1094574660335699,4149760.24457802,1.0051457501461047
3045,255.51919999999998,63.64156666666667,16261.6158,3,2198.4655666666667,-0.6568595852317727,-1.310716189113914,4155155.0599233597,1.0064524703895876
2985,255.0657666666667,63.7391,16257.666433333332,3,2193.790833333333,-0.8331496303714991,-1.2861114284053565,4146774.153029099,1.0044224656542193
2925,254.9829,63.779333333333334,16262.643600000001,3,2192.4619,-0.8653673067823942,-1.3171194368218897,4146696.02679444,1.0044035420904196
2865,255.07046666666668,63.7426,16258.858233333332,3,2192.8142000000003,-0.8313223204865716,-1.2935364046831932,4147154.5570435086,1.0045146062734087
2805,255.11749999999998,63.80733333333333,16278.386833333332,3,2192.195866666667,-0.8130362619927056,-1.415200603155431,4152901.352952916,1.0059065824707913
2745,255.18366666666668,63.75796666666667,16269.982133333333,3,2192.540833333333,-0.7873113675133658,-1.362838882965578,4151833.6973851556,1.0056479773000575
2685,255.1444,63.784166666666664,16274.160366666669,3,2192.577766666667,-0.8025778288215046,-1.388869494966971,4152260.882256947,1.0057514490750759
2625,255.07096666666666,63.74503333333333,16259.510999999999,3,2193.0979666666667,-0.8311279258179649,-1.2976031751270156,4147329.1882972997,1.0045569050695426
2565,255.0403666666667,63.80113333333333,16271.853633333332,3,2192.2091333333333,-0.8430248795368578,-1.3744984257613169,4149979.5169916656,1.0051988618252645
2505,254.96523333333334,63.79983333333333,16266.733266666668,3,2193.0697333333333,-0.8722359184066053,-1.3425982738618503,4147451.442906763,1.0045865173107074
2445,254.98576666666668,63.4428,16177.008733333334,3,2180.2447666666667,-0.8642527773490283,-0.783609742615532,4124906.9742423627,0.9991258459630237
2385,255.0820666666667,62.7439,16004.846733333334,3,2163.8576,-0.8268123641748226,0.2889685137561604,4082549.381421916,0.9888660834946933
2325,255.4304,62.02773333333334,15843.769466666667,3,2146.523333333333,-0.6913840783768332,1.2924883022254474,4046980.372378453,0.9802506367773419
2265,255.38376666666667,61.627133333333326,15738.573133333333,3,2129.1746,-0.7095146211358094,1.9478669559548578,4019376.088749469,0.973564388237621
2205,255.46973333333335,60.99036666666667,15581.181700000001,3,2111.9103666666665,-0.676091697779535,2.928423810153258,3980520.333917214,0.9641528332232346
2145,255.49513333333334,60.563233333333336,15473.601466666667,3,2093.524733333333,-0.6662164486141764,3.598654285453995,3953429.8698728625,0.9575910409271029
2085,255.6143,60.1021,15362.951200000001,3,2076.2323333333334,-0.6198857192622365,4.288011228846811,3926990.01692216,0.9511868382113894
2025,255.6341666666667,57.01616666666666,14575.279233333335,3,2024.8392666666666,-0.6121617710961313,9.195248741190943,3725939.3607471394,0.9024887928526371
1965,255.2141333333333,54.31626666666667,13862.280433333333,3,1964.9698,-0.7754662523727696,13.637268523135294,3537849.886816791,0.8569301763963431
1905,255.65793333333332,51.67496666666667,13211.118166666667,3,1905.0,-0.6029215445149005,17.694043471128275,3377527.1675124555,0.8180971618454009
1845,255.44029999999998,50.12199999999999,12803.1638,3,1845.0,-0.6875350639383715,20.235620493226925,3270444.00202114,0.7921597142913115
1785,255.739,49.62123333333333,12690.0778,3,1785.0,-0.5714036889109986,20.94015218256632,3245347.8064941997,0.7860809693055744
1725,255.34176666666667,46.657933333333325,11913.7183,3,1725.0,-0.7258437732990175,25.776912436441112,3042069.878290997,0.7368434390412852
1665,255.6054333333333,44.34733333333333,11335.4202,3,1665.0,-0.6233329847189162,29.379739818564097,2897394.99223642,0.701800608058307
1605,255.57023333333333,41.68696666666667,10653.944366666667,3,1605.0,-0.6370183693890197,33.62536987093401,2722831.0477093523,0.6595181154252984
1545,255.0035,39.49333333333333,10070.942866666666,3,1545.0,-0.8573582464356799,37.25749968083443,2568125.6793000335,0.6220457231865928
1485,255.76306666666667,37.52073333333333,9596.432433333333,3,1485.0,-0.5620468255285838,40.2137244761716,2454412.9882087954,0.5945024866014494
1425,254.93679999999998,35.627833333333335,9082.845266666665,3,1425.0,-0.8832904952282061,43.41339936214068,2315551.507179146,0.5608677657285237
1365,255.8391333333333,33.995866666666664,8697.472466666666,3,1365.0,-0.5324729166107933,45.81429204390014,2225153.8180625285,0.5389718373655981
1305,255.08606666666665,32.212466666666664,8216.949233333333,3,1305.0,-0.8252572068259578,48.8079768974378,2096029.259930682,0.5076955724258829
1245,256.08733333333333,30.748,7874.1802,3,1245.0,-0.4359754031129981,50.94344588659263,2016477.8096041332,0.48842679603858097
1185,255.30556666666666,28.947599999999998,7390.479833333334,3,1185.0,-0.7399179473063566,53.956924446818924,1886830.641787739,0.4570239457367128
1065,260.9964,25.951233333333334,6773.170533333334,3,1065.0,1.4726173725849723,57.802793643482666,1767773.12578608,0.4281860974806894
1005,274.8598666666667,24.7157,6791.9109,3,1005.1478666666667,6.862585389478126,57.686040179866424,1866823.72438588,0.4521779144445971
