clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp,avg_clock_mhz
3105,10.580766666666667,51.528999999999996,545.2154,3,0.04254809510602087,-2.7216576682038474,5768.796930473334,1.02765363776803,2492.7586333333334
3045,10.5784,51.834,548.3215666666666,3,0.020170948791009558,-3.3068769943522147,5800.364860826667,1.0332771497160833,2487.4041333333334
2985,10.579433333333332,51.717666666666666,547.1446333333333,3,0.02994125211164267,-3.0851361136563282,5788.480172041111,1.0311600109414973,2489.7952
2925,10.5784,51.59956666666667,545.8394666666667,3,0.020170948791009558,-2.8392353494202327,5774.108214186667,1.0285997899891963,2487.4112333333337
2865,10.576166666666666,51.58090000000001,545.5277333333333,3,-0.0009455132245927977,-2.780503030504744,5769.5922290222215,1.027795312272563,2487.996833333333
2805,10.578933333333334,51.246900000000004,542.1378,3,0.025213685988756396,-2.14182046323923,5735.23964368,1.0216757418111402,2487.0435666666667
2745,10.581666666666667,51.174,541.5062333333334,3,0.05105771412723392,-2.0228297397050454,5730.038459055557,1.0207492026445806,2487.114133333333
2685,10.576266666666667,51.46856666666667,544.3451,3,0.0,-2.5576882376473264,5757.138936293333,1.0255768823764733,2488.8215
2625,10.577433333333333,51.48023333333333,544.5294666666667,3,0.011030987620075372,-2.592423957912704,5759.724131702223,1.0260374091549862,2487.1479999999997
2565,10.5784,51.194433333333336,541.5561666666666,3,0.020170948791009558,-2.0322374614474725,5728.797753466666,1.0205281833181614,2487.1718
2505,10.582333333333333,51.270633333333336,542.5603,3,0.057361135624400816,-2.2214218471414693,5741.553948033333,1.0228005721556441,2488.2349666666664
2445,10.581433333333333,49.86193333333333,527.6102666666667,3,0.048851516603209966,0.5952487865106604,5582.872862715556,0.9945331194203278,2440.6179666666667
2385,10.5877,47.446799999999996,502.3530333333333,3,0.10810367867677417,5.353854057221319,5318.7632110233335,0.9474846190826863,2382.2525
2325,10.588966666666666,45.45046666666667,481.2726666666667,3,0.12008017952143124,9.32551408049569,5096.180224911111,0.9078336800497658,2322.5924333333332
2265,10.5908,43.64293333333333,462.2144666666666,3,0.1374145886386957,12.91618649395313,4895.220973573333,0.8720347937014711,2263.7613333333334
2205,10.5939,41.86176666666666,443.4784333333334,3,0.16672549860063945,16.446160889626317,4698.166174890001,0.8369314466523042,2204.3141666666666
2145,10.5982,40.75133333333333,431.8906,3,0.20738256725749693,18.62937407249473,4577.26295692,0.8153937442054723,2144.8385000000003
2085,10.598733333333334,39.6615,420.36133333333333,3,0.21242530445526597,20.801552964908197,4455.297675644444,0.7936668457732993,2085.6146000000003
2025,10.600466666666668,38.772866666666665,411.00966666666665,3,0.22881420034794875,22.56345973049202,4356.894271177778,0.7761372606990278,2026.3101
1965,10.590366666666666,37.0856,392.75156666666663,3,0.13331736466553057,26.00338878948748,4159.383099907777,0.7409526154252017,1967.2776000000001
1905,10.602433333333332,36.251866666666665,384.35903333333334,3,0.24740929376463328,27.584589423284044,4075.141026981111,0.7259457303260057,1907.781
