clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp,avg_clock_mhz
3105,10.577933333333334,51.75116666666667,547.4195666666666,3,0.01575855374298385,-1.9197995189671246,5790.567681562222,1.0193586060534905,2492.8279
3045,10.5785,52.00723333333334,550.1576,3,0.02111646201556905,-2.4295726900447345,5819.8421716,1.0245120219185453,2488.7096333333334
2985,10.575899999999999,51.85113333333334,548.3737,3,-0.003466881823466217,-2.0974421973972035,5799.545413829999,1.0209390259973143,2486.257266666667
2925,10.5779,51.8709,548.6867,3,0.01544338266810108,-2.155717237589294,5803.95304393,1.0217149353591966,2488.0039666666667
2865,10.577433333333333,51.80516666666667,547.9646333333334,3,0.011030987620075372,-2.0212812503005884,5796.059378107779,1.0203253520520517,2488.6252333333337
2805,10.5775,51.960433333333334,549.6131666666666,3,0.011661329769796502,-2.328208874128057,5813.533270416667,1.023401417040124,2489.178933333333
2745,10.578033333333332,51.68343333333333,546.7073666666666,3,0.01670406696754334,-1.787200529750499,5783.088748178888,1.0180420313189136,2487.5003333333334
2685,10.576866666666666,51.8186,548.0787,3,0.005673079347445764,-2.042518437471763,5796.95533274,1.0204830739051087,2486.8328
2625,10.574233333333334,51.878299999999996,548.5735333333333,3,-0.019225435566427862,-2.134647614431473,5800.744541957778,1.0211501178356335,2487.421066666667
2565,10.5755,51.85306666666667,548.3709333333333,3,-0.0072489347217707945,-2.0969270932080786,5799.296805466666,1.0208952615361016,2489.7924
2505,10.578666666666667,51.8867,548.8908,3,0.022692317389871874,-2.193717032168241,5806.5328096,1.0221690715478968,2488.5924333333332
2445,10.579266666666667,50.622833333333325,535.5535,3,0.028365396737339843,0.2894513178444358,5665.763290766667,0.9973883197487824,2442.502233333333
2385,10.584533333333333,47.3838,501.53476666666666,3,0.0781624265651315,6.623135190956275,5308.511455608888,0.934498504324289,2382.9894999999997
2325,10.588166666666666,46.208933333333334,489.2679666666666,3,0.11251607372479988,8.906995456222532,5180.450775727777,0.9119549881592809,2323.1528999999996
2265,10.590733333333333,44.020199999999996,466.2056333333333,3,0.13678424648897458,13.200792267479356,4937.45954113111,0.8691793537477598,2263.7264
2205,10.593366666666666,42.65696666666667,451.8804333333333,3,0.16168276140289262,15.867890049459332,4786.9351197922215,0.8426813706913521,2204.2879666666668
2145,10.595766666666668,41.1027,435.51410000000004,3,0.1843750787927867,18.915010601526884,4614.605783643335,0.8123448991156567,2144.9286666666667
