clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp,avg_clock_mhz
3105,10.5778,56.593500000000006,598.6346666666667,3,0.009454655472374007,-1.8232610891940615,6332.237777066667,1.0183288812772078,2501.7184666666667
3045,10.574966666666667,56.9095,601.8143666666666,3,-0.01733353503263757,-2.3641041798358353,6364.16686702111,1.0234636086197697,2500.6328666666664
2985,10.5773,57.079,603.7423666666667,3,0.004727327736175901,-2.692042500670322,6385.964134943333,1.026968970900783,2502.613366666667
2925,10.578133333333334,57.2731,605.8422666666667,3,0.012606207296483873,-3.0492197205459703,6408.680275768889,1.0306221031880136,2503.5110333333337
2865,10.578333333333333,57.31406666666667,606.2876666666667,3,0.014497138390945352,-3.124978915618426,6413.513033888889,1.0313992908652747,2499.9333
2805,10.5768,57.245466666666665,605.4732333333333,3,2.220446049250313e-14,-2.986449921964396,6403.96929432,1.0298644992196442,2501.2664
2745,10.578833333333334,57.29516666666667,606.115,3,0.019224466127143458,-3.0956096123348376,6411.9895658333335,1.0311542919288332,2502.8881
2685,10.576933333333335,57.400533333333335,607.1208333333333,3,0.0012606207296705918,-3.2666943085862155,6421.476579444445,1.032679961099415,2502.0007
2625,10.577833333333333,57.32653333333334,606.3902666666667,3,0.00976981065476945,-3.1424304050985175,6414.295175755555,1.0315250722525382,2501.272266666667
2565,10.578033333333332,57.2212,605.2881333333333,3,0.01166074174923093,-2.95496580205441,6402.75805067111,1.029669711147346,2501.424966666667
2505,10.577566666666668,57.1817,604.8428666666667,3,0.0072485691954948805,-2.8792292859806556,6397.765745024446,1.0288668655810325,2501.0181666666667
2445,10.580433333333334,55.609,588.3663,3,0.0343519148829019,-0.0766890340180959,6225.17041273,1.001110672930527,2442.4927666666667
2385,10.586466666666666,52.53380000000001,556.1459,3,0.09139500289943037,5.403759032690814,5887.620032153333,0.9468269720448402,2383.3730666666665
2325,10.589633333333333,50.3419,533.1012,3,0.12133474522857401,9.323489438361976,5645.346237559999,0.9078653267471013,2324.0698666666667
2265,10.587166666666667,47.860299999999995,506.7049333333334,3,0.09801326173008995,13.813296163966438,5364.569580022223,0.8627117823564092,2263.716233333333
2205,10.593133333333334,46.720433333333325,494.9167333333333,3,0.15442603938180532,15.81838045528431,5242.718945097778,0.8431161788566606,2204.5243333333333
2145,10.595666666666666,45.185566666666666,478.7700333333334,3,0.17837783324510248,18.564812864525916,5072.887683188889,0.8158044945778543,2144.8809333333334
2085,10.598066666666666,43.62826666666666,462.3741333333333,3,0.20106900637875125,21.353632322290352,4900.2718900088885,0.788045011477522,2085.5003666666667
2025,10.597433333333333,42.09943333333334,446.1465333333333,3,0.19508105791292696,24.11382521397778,4728.008143897778,0.7603421433860446,2026.3264
1965,10.5993,41.12253333333334,435.86893333333336,3,0.21272974812798218,25.861967789811946,4619.9055850800005,0.7429574585937584,1966.8384333333333
1905,10.600466666666668,39.8825,422.7733,3,0.22376017951242222,28.089436672383094,4481.594274206667,0.7207147053320717,1907.8523333333333
1845,10.6012,39.6991,420.8589,3,0.23069359352547725,28.415061735352754,4461.60937068,0.7175008013115295,1848.6192666666666
1785,10.6016,38.722699999999996,410.5238,3,0.2344754557144002,30.172984629365352,4352.20911808,0.6999074258313671,1788.8362
1725,10.6029,37.7755,400.5299333333333,3,0.24676650782846643,31.87286629602002,4246.77883014,0.6829524865270492,1729.5033999999998
1665,10.604766666666666,36.63153333333333,388.4672333333333,3,0.26441519804352165,33.92464097585918,4119.604367145555,0.6625007231556248,1670.9052
1605,10.605466666666667,35.8251,379.94173333333333,3,0.27103345687418123,35.37476449986032,4029.459388142222,0.6480039150992878,1610.0005333333331
1545,10.606233333333334,34.913466666666665,370.30053333333336,3,0.2782820260696539,37.01466021502071,3927.4938599911115,0.6316061666465979,1551.5357999999999
1485,10.5998,34.00796666666667,360.4786666666667,3,0.21745707586418028,38.68528597338518,3821.001770933334,0.6144804721081158,1492.1915666666666
1425,10.6117,33.29243333333333,353.28933333333333,3,0.3299674759851934,39.908137581918666,3749.0004185333337,0.6029014601977477,1433.9482666666665
1365,10.596966666666667,32.50463333333334,344.45059999999995,3,0.1906688853591687,41.411539743556105,3650.131526513333,0.5870017022056396,1372.2975666666669
1305,10.6173,31.928433333333334,338.99353333333335,3,0.38291354663038124,42.339745801309405,3599.1960414600003,0.5788104312303889,1312.8699
1245,10.608333333333333,31.2795,331.82443333333333,3,0.29813680256158825,43.55915587179403,3520.104196944444,0.5660911505622856,1254.8138666666666
1185,10.5987,30.649266666666666,324.84003333333334,3,0.20705695484457554,44.7471498593647,3442.88206129,0.5536725500960135,1198.3941666666667
1065,10.598866666666666,29.96423333333333,317.58843333333334,3,0.20863273075664157,45.98059256027922,3366.0774597755553,0.5413210960460082,1076.8257999999998
1005,10.6072,29.843700000000002,316.5587,3,0.28742152635958806,46.15574246704303,3357.80144264,0.539990175198152,1019.1940666666666
945,11.393933333333331,29.220200000000002,332.93216666666666,3,7.725714141643336,43.37073875080561,3793.4069115222214,0.6100427609383157,957.2970666666666
885,11.794199999999998,28.8998,340.8488333333333,3,11.510097572044465,42.02417320450227,4020.039310099999,0.6464890102785903,899.2725333333333
825,12.917933333333332,28.1324,363.41183333333333,3,22.134609081511748,38.18637635129271,4694.529835544444,0.7549582760246555,838.7620333333334
765,12.890633333333334,28.112033333333333,362.38346666666666,3,21.876496987116468,38.361293798320084,4671.352394862222,0.75123095906788,775.8769666666667
705,12.901766666666667,27.983533333333337,361.03703333333334,3,21.98175881804203,38.59031199668569,4658.015562092222,0.7490861751111495,720.0204666666667
645,12.886533333333333,27.849033333333335,358.87643333333335,3,21.837732899679807,38.95781383070796,4624.673120697777,0.7437241574106732,658.6957666666667
585,12.8827,27.920766666666665,359.6947666666667,3,21.801490053702466,38.818621476342706,4633.839770536667,0.7451983067721049,599.2903333333334
525,12.862033333333335,27.83796666666667,358.05390000000006,3,21.606093840607144,39.09772057353146,4605.301196930001,0.7406088307042011,539.8530999999999
