run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk2385_r2_20260411_101239,2385,2385,2380.7500,5.5710,40.8960,227.8313,data\raw\memory\logs\34_Element-wise Operations\clk2385_r2_20260411_101239_power.csv
clk2385_r3_20260411_101253,2385,2385,2382.8926,5.5707,40.7468,226.9864,data\raw\memory\logs\34_Element-wise Operations\clk2385_r3_20260411_101253_power.csv
clk2325_r1_20260411_101310,2325,2325,2323.3190,5.5709,40.0622,223.1843,data\raw\memory\logs\34_Element-wise Operations\clk2325_r1_20260411_101310_power.csv
clk2325_r2_20260411_101324,2325,2325,2325.0000,5.5716,39.7679,221.5696,data\raw\memory\logs\34_Element-wise Operations\clk2325_r2_20260411_101324_power.csv
clk2325_r3_20260411_101338,2325,2325,2323.3750,5.5925,39.5057,220.9340,data\raw\memory\logs\34_Element-wise Operations\clk2325_r3_20260411_101338_power.csv
clk2265_r1_20260411_101355,2265,2265,2263.8261,5.5926,38.6109,215.9340,data\raw\memory\logs\34_Element-wise Operations\clk2265_r1_20260411_101355_power.csv
clk2265_r2_20260411_101409,2265,2265,2262.7686,5.5718,38.1672,212.6595,data\raw\memory\logs\34_Element-wise Operations\clk2265_r2_20260411_101409_power.csv
clk2265_r3_20260411_101423,2265,2265,2263.8750,5.5717,38.1270,212.4330,data\raw\memory\logs\34_Element-wise Operations\clk2265_r3_20260411_101423_power.csv
clk2205_r1_20260411_101440,2205,2205,2205.0000,5.5728,37.5309,209.1517,data\raw\memory\logs\34_Element-wise Operations\clk2205_r1_20260411_101440_power.csv
clk2205_r2_20260411_101454,2205,2205,2203.7500,5.5936,37.1921,208.0364,data\raw\memory\logs\34_Element-wise Operations\clk2205_r2_20260411_101454_power.csv
clk2205_r3_20260411_101509,2205,2205,2204.3750,5.5926,37.2402,208.2699,data\raw\memory\logs\34_Element-wise Operations\clk2205_r3_20260411_101509_power.csv
clk2145_r1_20260411_101525,2145,2145,2144.8707,5.5726,36.4722,203.2440,data\raw\memory\logs\34_Element-wise Operations\clk2145_r1_20260411_101525_power.csv
clk2145_r2_20260411_101539,2145,2145,2144.7500,5.5934,35.9675,201.1820,data\raw\memory\logs\34_Element-wise Operations\clk2145_r2_20260411_101539_power.csv
clk2145_r3_20260411_101554,2145,2145,2144.7521,5.5931,35.9836,201.2585,data\raw\memory\logs\34_Element-wise Operations\clk2145_r3_20260411_101554_power.csv
clk2085_r1_20260411_101610,2085,2085,2085.7759,5.5935,35.2251,197.0327,data\raw\memory\logs\34_Element-wise Operations\clk2085_r1_20260411_101610_power.csv
clk2085_r2_20260411_101625,2085,2085,2086.1250,5.5939,35.0467,196.0475,data\raw\memory\logs\34_Element-wise Operations\clk2085_r2_20260411_101625_power.csv
clk2085_r3_20260411_101639,2085,2085,2086.1157,5.5940,34.9139,195.3082,data\raw\memory\logs\34_Element-wise Operations\clk2085_r3_20260411_101639_power.csv
clk2025_r1_20260411_101656,2025,2025,2026.8103,5.5941,34.3241,192.0130,data\raw\memory\logs\34_Element-wise Operations\clk2025_r1_20260411_101656_power.csv
clk2025_r2_20260411_101710,2025,2025,2027.6250,5.5941,33.9097,189.6940,data\raw\memory\logs\34_Element-wise Operations\clk2025_r2_20260411_101710_power.csv
clk2025_r3_20260411_101725,2025,2025,2026.7647,5.5938,33.6882,188.4452,data\raw\memory\logs\34_Element-wise Operations\clk2025_r3_20260411_101725_power.csv
clk1965_r1_20260411_101741,1965,1965,1967.8205,5.5738,33.5182,186.8251,data\raw\memory\logs\34_Element-wise Operations\clk1965_r1_20260411_101741_power.csv
clk1965_r2_20260411_101755,1965,1965,1967.7731,5.5728,33.3337,185.7636,data\raw\memory\logs\34_Element-wise Operations\clk1965_r2_20260411_101755_power.csv
clk1965_r3_20260411_101809,1965,1965,1967.7731,5.5941,33.0013,184.6121,data\raw\memory\logs\34_Element-wise Operations\clk1965_r3_20260411_101809_power.csv
clk1905_r1_20260411_101825,1905,1905,1908.8462,5.5743,32.8788,183.2776,data\raw\memory\logs\34_Element-wise Operations\clk1905_r1_20260411_101825_power.csv
clk1905_r2_20260411_101839,1905,1905,1908.7500,5.5951,32.3519,181.0118,data\raw\memory\logs\34_Element-wise Operations\clk1905_r2_20260411_101839_power.csv
clk1905_r3_20260411_101854,1905,1905,1910.6250,5.5732,32.3445,180.2618,data\raw\memory\logs\34_Element-wise Operations\clk1905_r3_20260411_101854_power.csv
clk1845_r1_20260411_101910,1845,1845,1849.9138,5.5740,32.3541,180.3407,data\raw\memory\logs\34_Element-wise Operations\clk1845_r1_20260411_101910_power.csv
clk1845_r2_20260411_101925,1845,1845,1849.7107,5.5935,31.7410,177.5445,data\raw\memory\logs\34_Element-wise Operations\clk1845_r2_20260411_101925_power.csv
clk1845_r3_20260411_101939,1845,1845,1852.0082,5.5945,31.8950,178.4367,data\raw\memory\logs\34_Element-wise Operations\clk1845_r3_20260411_101939_power.csv
clk1785_r1_20260411_101956,1785,1785,1791.0000,5.5740,31.7417,176.9282,data\raw\memory\logs\34_Element-wise Operations\clk1785_r1_20260411_101956_power.csv
clk1785_r2_20260411_102010,1785,1785,1793.4836,5.5751,31.3528,174.7939,data\raw\memory\logs\34_Element-wise Operations\clk1785_r2_20260411_102010_power.csv
clk1785_r3_20260411_102024,1785,1785,1793.6250,5.5743,31.3987,175.0254,data\raw\memory\logs\34_Element-wise Operations\clk1785_r3_20260411_102024_power.csv
clk1725_r1_20260411_102041,1725,1725,1731.9231,5.5940,30.9021,172.8678,data\raw\memory\logs\34_Element-wise Operations\clk1725_r1_20260411_102041_power.csv
clk1725_r2_20260411_102055,1725,1725,1735.1250,5.5742,30.8264,171.8331,data\raw\memory\logs\34_Element-wise Operations\clk1725_r2_20260411_102055_power.csv
clk1725_r3_20260411_102110,1725,1725,1735.2101,5.5939,30.7674,172.1101,data\raw\memory\logs\34_Element-wise Operations\clk1725_r3_20260411_102110_power.csv
clk1665_r1_20260411_102127,1665,1665,1673.0172,5.5750,30.2876,168.8532,data\raw\memory\logs\34_Element-wise Operations\clk1665_r1_20260411_102127_power.csv
clk1665_r2_20260411_102141,1665,1665,1676.7227,5.5749,30.0110,167.3089,data\raw\memory\logs\34_Element-wise Operations\clk1665_r2_20260411_102141_power.csv
