run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk2385_r3_20260411_103913,2385,2385,2385.0000,0.0098,11.8219,0.1163,data\raw\memory\logs\35_Strided Access\clk2385_r3_20260411_103913_power.csv
clk2325_r1_20260411_103918,2325,2325,2300.6250,0.0099,11.0075,0.1086,data\raw\memory\logs\35_Strided Access\clk2325_r1_20260411_103918_power.csv
clk2325_r2_20260411_103921,2325,2325,2302.0588,0.0097,10.9641,0.1062,data\raw\memory\logs\35_Strided Access\clk2325_r2_20260411_103921_power.csv
clk2325_r3_20260411_103924,2325,2325,2313.5294,0.0093,11.8871,0.1110,data\raw\memory\logs\35_Strided Access\clk2325_r3_20260411_103924_power.csv
clk2265_r1_20260411_103929,2265,2265,2245.7143,0.0094,10.7450,0.1014,data\raw\memory\logs\35_Strided Access\clk2265_r1_20260411_103929_power.csv
clk2265_r2_20260411_103932,2265,2265,2257.0588,0.0099,11.5512,0.1138,data\raw\memory\logs\35_Strided Access\clk2265_r2_20260411_103932_power.csv
clk2265_r3_20260411_103935,2265,2265,2257.0588,0.0096,9.9312,0.0957,data\raw\memory\logs\35_Strided Access\clk2265_r3_20260411_103935_power.csv
clk2205_r1_20260411_103940,2205,2205,2193.4615,0.0095,9.6523,0.0915,data\raw\memory\logs\35_Strided Access\clk2205_r1_20260411_103940_power.csv
clk2205_r2_20260411_103943,2205,2205,2205.0000,0.0098,11.5450,0.1132,data\raw\memory\logs\35_Strided Access\clk2205_r2_20260411_103943_power.csv
clk2205_r3_20260411_103946,2205,2205,2200.3125,0.0101,10.9781,0.1105,data\raw\memory\logs\35_Strided Access\clk2205_r3_20260411_103946_power.csv
clk2145_r1_20260411_103951,2145,2145,2143.8462,0.0094,10.3608,0.0970,data\raw\memory\logs\35_Strided Access\clk2145_r1_20260411_103951_power.csv
clk2145_r2_20260411_103954,2145,2145,2145.0000,0.0091,10.7556,0.0982,data\raw\memory\logs\35_Strided Access\clk2145_r2_20260411_103954_power.csv
clk2145_r3_20260411_103956,2145,2145,2144.1667,0.0098,10.4267,0.1021,data\raw\memory\logs\35_Strided Access\clk2145_r3_20260411_103956_power.csv
clk2085_r1_20260411_104002,2085,2085,2091.0000,0.0103,9.8060,0.1007,data\raw\memory\logs\35_Strided Access\clk2085_r1_20260411_104002_power.csv
clk2085_r2_20260411_104005,2085,2085,2092.9412,0.0094,10.2159,0.0956,data\raw\memory\logs\35_Strided Access\clk2085_r2_20260411_104005_power.csv
clk2085_r3_20260411_104008,2085,2085,2090.2941,0.0096,10.8106,0.1038,data\raw\memory\logs\35_Strided Access\clk2085_r3_20260411_104008_power.csv
clk2025_r1_20260411_104013,2025,2025,2041.1538,0.0094,9.3423,0.0874,data\raw\memory\logs\35_Strided Access\clk2025_r1_20260411_104013_power.csv
clk2025_r2_20260411_104016,2025,2025,2036.6667,0.0097,10.4250,0.1009,data\raw\memory\logs\35_Strided Access\clk2025_r2_20260411_104016_power.csv
clk2025_r3_20260411_104019,2025,2025,2043.5294,0.0096,10.0418,0.0967,data\raw\memory\logs\35_Strided Access\clk2025_r3_20260411_104019_power.csv
clk1965_r1_20260411_104024,1965,1965,1990.3846,0.0100,9.3415,0.0937,data\raw\memory\logs\35_Strided Access\clk1965_r1_20260411_104024_power.csv
clk1965_r2_20260411_104027,1965,1965,1985.6250,0.0099,10.2344,0.1014,data\raw\memory\logs\35_Strided Access\clk1965_r2_20260411_104027_power.csv
clk1965_r3_20260411_104030,1965,1965,1985.6250,0.0094,9.9931,0.0942,data\raw\memory\logs\35_Strided Access\clk1965_r3_20260411_104030_power.csv
clk1905_r1_20260411_104035,1905,1905,1939.6154,0.0091,9.1254,0.0834,data\raw\memory\logs\35_Strided Access\clk1905_r1_20260411_104035_power.csv
clk1905_r2_20260411_104038,1905,1905,1930.0000,0.0094,10.0550,0.0942,data\raw\memory\logs\35_Strided Access\clk1905_r2_20260411_104038_power.csv
clk1905_r3_20260411_104041,1905,1905,1931.4706,0.0099,10.0176,0.0996,data\raw\memory\logs\35_Strided Access\clk1905_r3_20260411_104041_power.csv
clk1845_r1_20260411_104045,1845,1845,1883.0000,0.0094,10.0187,0.0939,data\raw\memory\logs\35_Strided Access\clk1845_r1_20260411_104045_power.csv
clk1845_r2_20260411_104049,1845,1845,1875.0000,0.0100,10.1305,0.1009,data\raw\memory\logs\35_Strided Access\clk1845_r2_20260411_104049_power.csv
clk1845_r3_20260411_104052,1845,1845,1895.2941,0.0097,9.7076,0.0946,data\raw\memory\logs\35_Strided Access\clk1845_r3_20260411_104052_power.csv
clk1785_r1_20260411_104057,1785,1785,1838.0769,0.0095,9.9423,0.0942,data\raw\memory\logs\35_Strided Access\clk1785_r1_20260411_104057_power.csv
clk1785_r2_20260411_104100,1785,1785,1842.5000,0.0093,9.8289,0.0913,data\raw\memory\logs\35_Strided Access\clk1785_r2_20260411_104100_power.csv
clk1785_r3_20260411_104103,1785,1785,1839.4737,0.0095,9.8742,0.0937,data\raw\memory\logs\35_Strided Access\clk1785_r3_20260411_104103_power.csv
clk1725_r1_20260411_104109,1725,1725,1782.8571,0.0101,9.8350,0.0992,data\raw\memory\logs\35_Strided Access\clk1725_r1_20260411_104109_power.csv
clk1725_r2_20260411_104112,1725,1725,1792.5000,0.0100,9.5933,0.0963,data\raw\memory\logs\35_Strided Access\clk1725_r2_20260411_104112_power.csv
clk1725_r3_20260411_104115,1725,1725,1792.5000,0.0095,9.5344,0.0903,data\raw\memory\logs\35_Strided Access\clk1725_r3_20260411_104115_power.csv
