run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk2385_r2_20260411_094424,2385,2385,2382.0690,3.7995,38.8120,147.4647,data\raw\memory\logs\33_Large Tensor Copy\clk2385_r2_20260411_094424_power.csv
clk2385_r3_20260411_094435,2385,2385,2379.0698,3.8011,38.7438,147.2696,data\raw\memory\logs\33_Large Tensor Copy\clk2385_r3_20260411_094435_power.csv
clk2325_r1_20260411_094448,2325,2325,2322.6786,3.8000,37.4414,142.2792,data\raw\memory\logs\33_Large Tensor Copy\clk2325_r1_20260411_094448_power.csv
clk2325_r2_20260411_094459,2325,2325,2322.7841,3.8011,37.0376,140.7839,data\raw\memory\logs\33_Large Tensor Copy\clk2325_r2_20260411_094459_power.csv
clk2325_r3_20260411_094510,2325,2325,2320.5682,3.8017,37.1813,141.3514,data\raw\memory\logs\33_Large Tensor Copy\clk2325_r3_20260411_094510_power.csv
clk2265_r1_20260411_094523,2265,2265,2263.3735,3.8019,36.4396,138.5401,data\raw\memory\logs\33_Large Tensor Copy\clk2265_r1_20260411_094523_power.csv
clk2265_r2_20260411_094533,2265,2265,2260.3977,3.8012,36.0519,137.0393,data\raw\memory\logs\33_Large Tensor Copy\clk2265_r2_20260411_094533_power.csv
clk2265_r3_20260411_094544,2265,2265,2265.0000,3.8014,35.8418,136.2474,data\raw\memory\logs\33_Large Tensor Copy\clk2265_r3_20260411_094544_power.csv
clk2205_r1_20260411_094557,2205,2205,2204.1279,3.8019,34.5014,131.1708,data\raw\memory\logs\33_Large Tensor Copy\clk2205_r1_20260411_094557_power.csv
clk2205_r2_20260411_094608,2205,2205,2204.1573,3.8013,34.9366,132.8041,data\raw\memory\logs\33_Large Tensor Copy\clk2205_r2_20260411_094608_power.csv
clk2205_r3_20260411_094619,2205,2205,2203.2955,3.8021,35.1735,133.7331,data\raw\memory\logs\33_Large Tensor Copy\clk2205_r3_20260411_094619_power.csv
clk2145_r1_20260411_094632,2145,2145,2144.6386,3.8026,34.4652,131.0574,data\raw\memory\logs\33_Large Tensor Copy\clk2145_r1_20260411_094632_power.csv
clk2145_r2_20260411_094643,2145,2145,2144.6552,3.8032,34.1082,129.7197,data\raw\memory\logs\33_Large Tensor Copy\clk2145_r2_20260411_094643_power.csv
clk2145_r3_20260411_094654,2145,2145,2144.6591,3.8031,33.8866,128.8739,data\raw\memory\logs\33_Large Tensor Copy\clk2145_r3_20260411_094654_power.csv
