clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp,avg_clock_mhz
3105,6.077500000000001,59.282399999999996,360.2809333333333,3,0.4733669117080064,-3.7240826017130857,2189.6073723333334,1.0421507808822226,2045.2725666666665
3045,6.098766666666667,59.455600000000004,362.6026,3,0.8249479241290603,-4.3924852920219415,2211.428650126667,1.052536689323852,2031.7102000000002
2985,6.112633333333332,58.97756666666667,360.5037666666667,3,1.0541919698455748,-3.788235824752806,2203.627340918889,1.0488236307246175,2046.9584333333332
2925,6.145833333333333,59.05413333333333,362.9322333333333,3,1.603055117763108,-4.487385998475091,2230.521017361111,1.0616237638714054,2053.110533333333
2865,6.130866666666667,59.03810000000001,361.94866666666667,3,1.355625847266162,-4.204219333967685,2219.0590155111113,1.0561683866520086,2050.337633333333
2805,6.1384333333333325,59.37893333333333,364.4945666666667,3,1.480718151058591,-4.937178304214895,2237.4255978455553,1.0649100215057412,2040.0027666666665
2745,6.129466666666667,59.075799999999994,362.10536666666667,3,1.3324810157274714,-4.24933291684122,2219.5127748044442,1.0563843548698064,2017.0195666666666
2685,6.125366666666667,59.18396666666666,362.52906666666667,3,1.2646997233641821,-4.371315208248472,2220.623460657778,1.0569129894295874,2024.8999666666666
2625,6.125800000000001,58.51793333333333,358.48693333333335,3,1.2718635997928107,-3.2075939758348326,2196.019256213334,1.0452025379583545,2034.3458666666666
2565,6.141733333333334,58.80873333333333,361.1929333333333,3,1.5352738253998188,-3.9866453814237923,2218.350678417778,1.055831251298761,2021.5391666666667
2505,6.1453,59.266466666666666,364.2010333333333,3,1.5942380390816968,-4.852670707791917,2238.124610143333,1.065242718692086,2032.5818
2445,6.152,59.320699999999995,364.92170000000004,3,1.7050025900168686,-5.060149044683193,2244.9982984000003,1.0685142730697064,2020.131666666667
2385,6.164433333333334,58.31923333333333,359.5256,3,1.9105507367771501,-3.506623808283127,2216.271592826667,1.0548417037206543,2012.1638666666668
2325,6.1409666666666665,59.30273333333333,364.1864666666667,3,1.5225992747952777,-4.848476996727102,2236.4569522511115,1.0644489914711317,1994.3162999999997
2265,6.129333333333332,58.96126666666667,361.39799999999997,3,1.3302767460571019,-4.045683620487384,2215.1288079999995,1.0542977915496687,1985.9669000000001
2205,6.127366666666667,58.7301,359.85093333333333,3,1.2977637684194354,-3.600286554261789,2204.938613875556,1.0494477353714171,1980.3445333333332
2145,6.136500000000001,58.447333333333326,358.66079999999994,3,1.4487562408385335,-3.2576498040135737,2200.9219992,1.0475360144969241,1976.2565000000002
2085,6.153466666666667,58.59553333333333,360.5640333333333,3,1.7292495563907329,-3.805586464581623,2218.7187603155553,1.0560064410802918,1955.1474333333333
2025,6.117866666666667,58.8192,359.84666666666664,3,1.1407095544069046,-3.599058190380089,2201.493927111111,1.0478082254543333,1949.2753333333333
1965,6.136399999999999,58.393499999999996,358.3263666666667,3,1.4471030385857286,-3.161367188193509,2198.833916413333,1.0465421846742045,1937.6285
1905,6.178166666666667,56.62923333333333,349.8751333333333,3,2.1375905128233397,-0.7282758329482775,2161.5868862555553,1.028814339008839,1910.7235
1845,6.3821666666666665,53.705999999999996,342.7236666666667,3,5.510123108461085,1.3306155782450757,2187.319561277778,1.0410618897375434,1851.3045666666667
1785,6.602466666666667,53.285133333333334,351.73330000000004,3,9.152127671299336,-1.263237900016012,2322.3073888066674,1.1053097871671704,1793.3135666666667
1725,6.768366666666666,49.8203,337.19536666666664,3,11.89479020863413,2.922200901791827,2282.2618799011107,1.0862499964009933,1734.4888
1665,7.0368666666666675,46.9237,330.17263333333335,3,16.33363825730443,4.9440302714923945,2323.380797748889,1.1058206796593482,1675.6574666666668
1605,7.2328,44.41956666666667,321.27576666666664,3,19.5728125378859,7.505418476224202,2323.7233651466663,1.1059837257312646,1616.6453333333332
1545,7.489633333333333,41.79946666666667,313.06660000000005,3,23.818786990400408,9.868819374369298,2344.7540429133337,1.1159933455078273,1554.9617
1485,7.7695333333333325,39.8319,309.4745666666667,3,28.44610009588573,10.90295781385775,2404.4729615355554,1.144416759888858,1497.0195666666666
1425,8.098233333333333,37.632266666666666,304.75413333333336,3,33.8801759007197,12.261960113681225,2467.970081031111,1.1746384213164718,1440.6505
1365,8.4002,35.493966666666665,298.15616666666665,3,38.872295636648204,14.161500101004131,2504.571431233333,1.1920589534979749,1379.9574999999998
1305,8.829266666666667,31.1036,274.6197,3,45.965635435839246,20.937596715662053,2424.6905632200005,1.154039393448297,1318.8058333333333
1245,9.207133333333333,29.1775,268.6465,3,52.2125356816153,22.657267763653177,2473.4641450333334,1.1772533390238558,1260.7154
1185,9.6331,27.980733333333333,269.54400000000004,3,59.254626210970684,22.398879501821657,2596.5443064000006,1.2358337438489886,1202.9300666666668
1065,10.685133333333333,25.1147,268.3423666666667,3,76.64686497746136,22.74482707659471,2867.273966815556,1.3646884100211203,1083.3295333333333
1005,11.270666666666665,24.1845,272.5691,3,86.32691523480982,21.527959913112436,3072.035469733333,1.4621453161572096,1021.7741666666666
945,11.909866666666666,23.285533333333333,277.32840000000004,3,96.89418403447479,20.15776798605421,3302.94426688,1.5720471123877076,961.8247666666666
885,12.792466666666668,23.042366666666666,294.76486666666665,3,111.48534711736637,15.137847858496311,3770.769731337778,1.7947101702772663,901.5346
825,13.598999999999998,22.286966666666668,303.08136666666667,3,124.81897435332239,12.743545931452482,4121.6035053,1.9616906509398635,839.6203666666667
765,14.605200000000002,23.045866666666665,336.58979999999997,3,141.45349542062982,3.0965422036560164,4915.96134696,2.3397678603272736,782.6125333333333
705,15.222999999999999,22.59013333333333,343.8905666666667,3,151.6669789382033,0.9946676531963905,5235.0460963666665,2.491637289049284,721.0211666666668
645,17.234466666666666,18.949866666666665,326.5897,3,184.92059118512557,5.9755488411394335,5628.599298326666,2.678950221003952,659.8531333333334
585,18.910766666666667,18.051199999999998,341.3612,3,212.6332205482019,1.7228667134020603,6455.402002253333,3.0724696685634005,600.6379000000001
525,21.031633333333335,17.003766666666667,357.6152,3,247.6954360596476,-2.9566238802575695,7521.231760826668,3.579754823527528,538.3097
