clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp,avg_clock_mhz
3105,5.5138,65.30693333333333,360.0704333333333,3,0.765116534070831,-11.599408804132171,1985.356355313333,1.1245327433281789,2072.8558666666668
3045,5.5349,61.7322,341.68243333333334,3,1.1507206471813802,-5.90027402626867,1891.1781002566668,1.071188903449106,2074.0052333333333
2985,5.5440000000000005,61.18906666666667,339.2321,3,1.3170238428830805,-5.140823302026876,1880.7027624000002,1.0652555301351814,2048.3683
2925,5.5507333333333335,60.99436666666667,338.56333333333333,3,1.4400760243180377,-4.933547286784545,1879.274779777778,1.0644467014272798,2051.8526
2865,5.554200000000001,61.1641,339.71776666666665,3,1.5034296226805965,-5.291349720911409,1886.8604196200001,1.0687433106273583,2049.448766666667
2805,5.558,61.33583333333333,340.9044333333333,3,1.5728749131933784,-5.659142480848933,1894.7468404666665,1.0732102862642547,2044.9524000000001
2745,5.559433333333334,61.06796666666667,339.501,3,1.5990691894394393,-5.2241655546789945,1887.4331761,1.0690677276590863,2046.2050666666667
2685,5.558066666666666,60.98056666666667,338.9327666666666,3,1.5740932516234318,-5.048048611458333,1883.8109126511106,1.067016028556134,2043.8195666666668
2625,5.5599,60.88653333333334,338.5236333333333,3,1.6075975584497915,-4.921242759338318,1882.1575489699997,1.066079540962326,2040.0605333333333
2565,5.559733333333334,60.958866666666665,338.91423333333336,3,1.60455171237468,-5.042304432398659,1884.2727602044447,1.0672776252688654,2046.914
2505,5.561733333333334,59.15536666666666,329.01590000000004,3,1.641101865276151,-1.974437576683763,1829.898698226667,1.0364794197385958,2058.9338000000002
